longitude,latitude,ATTR1
-103.54,31.419999999999998,0.6354509188512416
-103.53,31.419999999999998,0.635256145245858
-103.52,31.419999999999998,0.6437511860171601
-103.51,31.419999999999998,0.6449041648059004
-103.5,31.419999999999998,0.6332709891801233
-103.49,31.419999999999998,0.6168888446550991
-103.48,31.419999999999998,0.6070100650289495
-103.47,31.419999999999998,0.6105286383330881
-103.46,31.419999999999998,0.6268907042451003
-103.45,31.419999999999998,0.6441763651869308
-103.44,31.419999999999998,0.6486122242640109
-103.43,31.419999999999998,0.6454302618160178
-103.42,31.419999999999998,0.6294448951027041
-103.41,31.419999999999998,0.6109013710467006
-104.0,31.43,
-103.99,31.43,0.9856676513534774
-103.98,31.43,0.9864703680674706
-103.97,31.43,0.9875281654203818
-103.96,31.43,0.9887502271500457
-103.95,31.43,0.9901441674607219
-103.94,31.43,0.9916203781661148
-103.93,31.43,0.9930505781795482
-103.92,31.43,0.9945201236740712
-103.91,31.43,0.9957681162806121
-103.9,31.43,0.996893136576954
-103.89,31.43,0.9978098553309349
-103.88,31.43,0.9985097841533108
-103.87,31.43,0.9990507163648421
-103.86,31.43,0.9994081659445531
-103.85,31.43,0.9994469327755904
-103.84,31.43,0.9987453175120926
-103.83,31.43,0.9963342068715494
-103.82,31.43,0.9907071689564476
-103.81,31.43,0.979334005092013
-103.8,31.43,0.9622127144489658
-103.79,31.43,0.9367537087280784
-103.78,31.43,0.9023017741640261
-103.77,31.43,0.863913880587778
-103.76,31.43,0.8245978529042601
-103.75,31.43,0.7952504174783697
-103.74,31.43,0.7873221156239596
-103.73,31.43,0.8088362069366773
-103.72,31.43,0.845088054964705
-103.71,31.43,0.8892466032815514
-103.7,31.43,0.9262641494387442
-103.69,31.43,0.9552783133151044
-103.68,31.43,0.9714645152087038
-103.67,31.43,0.9780993976626522
-103.66,31.43,0.9772308427072376
-103.65,31.43,0.968744539185634
-103.64,31.43,0.9566836245882655
-103.63,31.43,0.9397543281280262
-103.62,31.43,0.9275910434933229
-103.61,31.43,0.921429526357393
-103.6,31.43,0.9130430009769369
-103.59,31.43,0.9002883258540135
-103.58,31.43,0.8641392403050355
-103.57,31.43,0.8056250943307827
-103.56,31.43,0.7390860742697657
-103.55,31.43,0.6890651683490872
-103.54,31.43,0.6745239133489427
-103.53,31.43,0.6863027709179929
-103.52,31.43,0.6999500631041626
-103.51,31.43,0.7048124769141022
-103.5,31.43,0.7032998500251993
-103.49,31.43,0.699637096541367
-103.48,31.43,0.7044642501951728
-103.47,31.43,0.7118818188381072
-103.46,31.43,0.713506010230234
-103.45,31.43,0.7053957950310721
-103.44,31.43,0.6876741987014154
-103.43,31.43,0.6674986045436662
-103.42,31.43,0.6433659659165571
-103.41,31.43,0.6233460619231385
-104.0,31.439999999999998,
-103.99,31.439999999999998,0.9826452536074893
-103.98,31.439999999999998,0.9832332087557522
-103.97,31.439999999999998,0.9840828423775647
-103.96,31.439999999999998,0.9851823845672157
-103.95,31.439999999999998,0.9865150841992101
-103.94,31.439999999999998,0.9879875552557741
-103.93,31.439999999999998,0.9895551506086345
-103.92,31.439999999999998,0.9911535551409764
-103.91,31.439999999999998,0.9926566037146269
-103.9,31.439999999999998,0.9940573018252264
-103.89,31.439999999999998,0.9953304431061758
-103.88,31.439999999999998,0.9964520844493194
-103.87,31.439999999999998,0.9974087137360091
-103.86,31.439999999999998,0.9982003943634881
-103.85,31.439999999999998,0.9987645589681211
-103.84,31.439999999999998,0.9986705039590312
-103.83,31.439999999999998,0.9968607874385436
-103.82,31.439999999999998,0.9915314081420873
-103.81,31.439999999999998,0.9810393350338011
-103.8,31.439999999999998,0.9633731459340895
-103.79,31.439999999999998,0.9371206048554259
-103.78,31.439999999999998,0.901878476823415
-103.77,31.439999999999998,0.859910129732326
-103.76,31.439999999999998,0.8161504366032334
-103.75,31.439999999999998,0.7822714508272034
-103.74,31.439999999999998,0.7730292385150006
-103.73,31.439999999999998,0.7938335873887938
-103.72,31.439999999999998,0.8357733308454867
-103.71,31.439999999999998,0.8828988765216869
